mnemonic,family,profile,funct6,funct3,vm_constraint,vs1_constraint,decode,execute,integration_test,spec_corner_test,notes
vadc.vim,Carry/borrow,Integer V extension,0x10,0x3,0,variable,yes,yes,,,
vadc.vvm,Carry/borrow,Integer V extension,0x10,0x0,0,variable,yes,yes,,,
vadc.vxm,Carry/borrow,Integer V extension,0x10,0x4,0,variable,yes,yes,,,
vmadc.vi,Carry/borrow,Integer V extension,0x11,0x3,1,variable,yes,yes,,,
vmadc.vim,Carry/borrow,Integer V extension,0x11,0x3,0,variable,yes,yes,,,
vmadc.vv,Carry/borrow,Integer V extension,0x11,0x0,1,variable,yes,yes,,,
vmadc.vvm,Carry/borrow,Integer V extension,0x11,0x0,0,variable,yes,yes,,,
vmadc.vx,Carry/borrow,Integer V extension,0x11,0x4,1,variable,yes,yes,,,
vmadc.vxm,Carry/borrow,Integer V extension,0x11,0x4,0,variable,yes,yes,,,
vmsbc.vv,Carry/borrow,Integer V extension,0x13,0x0,1,variable,yes,yes,,,
vmsbc.vvm,Carry/borrow,Integer V extension,0x13,0x0,0,variable,yes,yes,,,
vmsbc.vx,Carry/borrow,Integer V extension,0x13,0x4,1,variable,yes,yes,,,
vmsbc.vxm,Carry/borrow,Integer V extension,0x13,0x4,0,variable,yes,yes,,,
vsbc.vvm,Carry/borrow,Integer V extension,0x12,0x0,0,variable,yes,yes,,,
vsbc.vxm,Carry/borrow,Integer V extension,0x12,0x4,0,variable,yes,yes,,,
vfcvt.f.x.v,FP convert,FP32 F extension,0x12,0x1,variable,0x03,no,no,,,
vfcvt.f.xu.v,FP convert,FP32 F extension,0x12,0x1,variable,0x02,no,no,,,
vfcvt.rtz.x.f.v,FP convert,FP32 F extension,0x12,0x1,variable,0x07,no,no,,,
vfcvt.rtz.xu.f.v,FP convert,FP32 F extension,0x12,0x1,variable,0x06,no,no,,,
vfcvt.x.f.v,FP convert,FP32 F extension,0x12,0x1,variable,0x01,no,no,,,
vfcvt.xu.f.v,FP convert,FP32 F extension,0x12,0x1,variable,0x00,no,no,,,
vfncvt.f.f.w,FP convert,FP64 feature conditional,0x12,0x1,variable,0x14,no,no,,,
vfncvt.f.x.w,FP convert,FP64 feature conditional,0x12,0x1,variable,0x13,no,no,,,
vfncvt.f.xu.w,FP convert,FP64 feature conditional,0x12,0x1,variable,0x12,no,no,,,
vfncvt.rod.f.f.w,FP convert,FP64 feature conditional,0x12,0x1,variable,0x15,no,no,,,
vfncvt.rtz.x.f.w,FP convert,FP64 feature conditional,0x12,0x1,variable,0x17,no,no,,,
vfncvt.rtz.xu.f.w,FP convert,FP64 feature conditional,0x12,0x1,variable,0x16,no,no,,,
vfncvt.x.f.w,FP convert,FP64 feature conditional,0x12,0x1,variable,0x11,no,no,,,
vfncvt.xu.f.w,FP convert,FP64 feature conditional,0x12,0x1,variable,0x10,no,no,,,
vfwcvt.f.f.v,FP convert,FP64 feature conditional,0x12,0x1,variable,0x0C,no,no,,,
vfwcvt.f.x.v,FP convert,FP64 feature conditional,0x12,0x1,variable,0x0B,no,no,,,
vfwcvt.f.xu.v,FP convert,FP64 feature conditional,0x12,0x1,variable,0x0A,no,no,,,
