mnemonic,family,profile,eew_bits,width,mop,nf,lumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vle16ff.v,Fault-only-first,Zve32x/Zve64x base,16,0b101,0b00,0b000,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vle32ff.v,Fault-only-first,Zve32x/Zve64x base,32,0b110,0b00,0b000,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vle64ff.v,Fault-only-first,Zve32x/Zve64x base,64,0b111,0b00,0b000,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vle8ff.v,Fault-only-first,Zve32x/Zve64x base,8,0b000,0b00,0b000,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg2e16ff.v,Fault-only-first,Zve32x/Zve64x base,16,0b101,0b00,0b001,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg2e32ff.v,Fault-only-first,Zve32x/Zve64x base,32,0b110,0b00,0b001,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg2e64ff.v,Fault-only-first,Zve32x/Zve64x base,64,0b111,0b00,0b001,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg2e8ff.v,Fault-only-first,Zve32x/Zve64x base,8,0b000,0b00,0b001,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg3e16ff.v,Fault-only-first,Zve32x/Zve64x base,16,0b101,0b00,0b010,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg3e32ff.v,Fault-only-first,Zve32x/Zve64x base,32,0b110,0b00,0b010,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg3e64ff.v,Fault-only-first,Zve32x/Zve64x base,64,0b111,0b00,0b010,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg3e8ff.v,Fault-only-first,Zve32x/Zve64x base,8,0b000,0b00,0b010,0b10000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
