mnemonic,family,eew_bits,width,mop,nf,sumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vsoxei16.v,Indexed ordered,16,0b101,0b11,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxei32.v,Indexed ordered,32,0b110,0b11,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxei64.v,Indexed ordered,64,0b111,0b11,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxei8.v,Indexed ordered,8,0b000,0b11,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxei16.v,Indexed unordered,16,0b101,0b01,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxei32.v,Indexed unordered,32,0b110,0b01,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxei64.v,Indexed unordered,64,0b111,0b01,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxei8.v,Indexed unordered,8,0b000,0b01,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsm.v,Mask memory,8,0b000,0b00,0b000,0b01011,1,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg2ei16.v,Segment indexed ordered,16,0b101,0b11,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg2ei32.v,Segment indexed ordered,32,0b110,0b11,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg2ei64.v,Segment indexed ordered,64,0b111,0b11,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg2ei8.v,Segment indexed ordered,8,0b000,0b11,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg3ei16.v,Segment indexed ordered,16,0b101,0b11,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg3ei32.v,Segment indexed ordered,32,0b110,0b11,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg3ei64.v,Segment indexed ordered,64,0b111,0b11,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg3ei8.v,Segment indexed ordered,8,0b000,0b11,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg4ei16.v,Segment indexed ordered,16,0b101,0b11,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg4ei32.v,Segment indexed ordered,32,0b110,0b11,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg4ei64.v,Segment indexed ordered,64,0b111,0b11,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg4ei8.v,Segment indexed ordered,8,0b000,0b11,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg5ei16.v,Segment indexed ordered,16,0b101,0b11,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg5ei32.v,Segment indexed ordered,32,0b110,0b11,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg5ei64.v,Segment indexed ordered,64,0b111,0b11,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg5ei8.v,Segment indexed ordered,8,0b000,0b11,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg6ei16.v,Segment indexed ordered,16,0b101,0b11,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg6ei32.v,Segment indexed ordered,32,0b110,0b11,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg6ei64.v,Segment indexed ordered,64,0b111,0b11,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg6ei8.v,Segment indexed ordered,8,0b000,0b11,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg7ei16.v,Segment indexed ordered,16,0b101,0b11,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg7ei32.v,Segment indexed ordered,32,0b110,0b11,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg7ei64.v,Segment indexed ordered,64,0b111,0b11,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg7ei8.v,Segment indexed ordered,8,0b000,0b11,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg8ei16.v,Segment indexed ordered,16,0b101,0b11,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg8ei32.v,Segment indexed ordered,32,0b110,0b11,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg8ei64.v,Segment indexed ordered,64,0b111,0b11,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsoxseg8ei8.v,Segment indexed ordered,8,0b000,0b11,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg2ei16.v,Segment indexed unordered,16,0b101,0b01,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg2ei32.v,Segment indexed unordered,32,0b110,0b01,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg2ei64.v,Segment indexed unordered,64,0b111,0b01,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg2ei8.v,Segment indexed unordered,8,0b000,0b01,0b001,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg3ei16.v,Segment indexed unordered,16,0b101,0b01,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg3ei32.v,Segment indexed unordered,32,0b110,0b01,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg3ei64.v,Segment indexed unordered,64,0b111,0b01,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg3ei8.v,Segment indexed unordered,8,0b000,0b01,0b010,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg4ei16.v,Segment indexed unordered,16,0b101,0b01,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg4ei32.v,Segment indexed unordered,32,0b110,0b01,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsuxseg4ei64.v,Segment indexed unordered,64,0b111,0b01,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
